City,Subdivision,Country
Vienna,,Austria
Brussels,Brussels-Capital,Belgium
Sofia,Sofia-Capital,Bulgaria
Zagreb,City of Zagreb,Croatia
Nicosia,Nicosia,Cyprus
Prague,Prague,Czech Republic
Copenhagen,Capital Region,Denmark
Nuuk,Greenland,Kingdom of Denmark
Tallinn,Harju,Estonia
Helsinki,Uusimaa,Finland
Paris,Île-de-France,France
Nantes,Brittany,France
Marseille,Provence-Alpes-Côte d'Azur,France
Lyon,Auvergne-Rhône-Alpes,France
Strasbourg,Alsace-Lorraine,France
Berlin,Berlin,Germany
Hamburg,Hamburg,Germany
Munich,Bavaria,Germany
Athens,Attica,Greece
Thessaloniki,Central Macedonia,Greece
Budapest,Budapest,Hungary
Dublin,Leinster,Ireland
Rome,Lazio,Italy
Milan,Lombardy,Italy
Naples,Campania,Italy
Riga,Riga,Latvia
Vilnius,Vilnius,Lithuania
Luxembourg City,, Luxembourg
Valletta,South Eastern Region,Malta
Amsterdam,North Holland,Netherlands
Oslo,Oslo,Norway
Warsaw,Masovian,Poland
Lisbon,Lisbon,Portugal
Porto,Porto,Portugal
Bucharest,Ilfov,Romania
Bratislava,Bratislava,Slovakia
Ljubljana,Ljubljana,Slovenia
Madrid,Community of Madrid,Spain
Barcelona,Catalonia,Spain
Valencia,Valencian Community,Spain
Stockholm,Stockholm,Sweden
Zurich,Zurich,Switzerland
Geneva,Geneva,Switzerland
London,England,United Kingdom
Manchester,England,United Kingdom
Birmingham,England,United Kingdom
Glasgow,Scotland,United Kingdom
Rotterdam,South Holland,Netherlands
Kraków,Lesser Poland,Poland
Moscow,Moscow,Russia
Volgograd,Volgograd Oblast,Russia
St. Petersburg,St. Petersburg,Russia
Minsk,Minsk,Belarus
Chisinau,Chisinau,Moldova
Belgrade,Belgrade,Serbia
Sarajevo,Sarajevo,Bosnia and Herzegovina
Tirana,Tirana,Albania
Skopje,Skopje,North Macedonia
Podgorica,Podgorica,Montenegro
Pristina,Pristina,Kosovo
Yerevan,Yerevan,Armenia
Baku,Baku,Azerbaijan
Ankara,Ankara,Turkey
Istanbul,Istanbul,Turkey
Izmir,Aegean,Turkey
Antalya,Mediterranean,Turkey
Kyiv,Kyiv,Ukraine
Tbilisi,Tbilisi,Georgia
Johannesburg,Gauteng,South Africa
Cape Town,Western Cape,South Africa
Islamabad,Islamabad Capital Territory,Pakistan
Karachi,Sindh,Pakistan
Lahore,Punjab,Pakistan
Faisalabad,Punjab,Pakistan
Rawalpindi,Punjab,Pakistan
Multan,Punjab,Pakistan
Gujranwala,Punjab,Pakistan
Peshawar,Khyber Pakhtunkhwa,Pakistan
Quetta,Balochistan,Pakistan
Dhaka,Dhaka Division,Bangladesh
Chittagong,Chittagong Division,Bangladesh
Kathmandu,Bagmati,Nepal
Thimphu,Thimphu District,Bhutan
New Delhi,Delhi,India
Mumbai,Maharashtra,India
Kolkata,West Bengal,India
Chennai,Tamil Nadu,India
Hyderabad,Telangana,India
Bangalore,Karnataka,India
Thiruvananthapuram,Kerala,India
Jaipur,Rajasthan,India
Lucknow,Uttar Pradesh,India
Patna,Bihar,India
Dispur,Assam,India
Bhopal,Madhya Pradesh,India
Dehradun,Uttarakhand,India
Gandhinagar,Gujarat,India
Raipur,Chhattisgarh,India
Amaravati,Andhra Pradesh,India
Ranchi,Jharkhand,India
Shimla,Himachal Pradesh,India
Itanagar,Arunachal Pradesh,India
Agartala,Tripura,India
Kohima,Nagaland,India
Imphal,Manipur,India
Aizawl,Mizoram,India
Gangtok,Sikkim,India
Panaji,Goa,India
Pune,Maharashtra,India
Ahmedabad,Gujarat,India
Surat,Gujarat,India
Kanpur,Uttar Pradesh,India
Nagpur,Maharashtra,India
Indore,Madhya Pradesh,India
Chandigarh,Union Territory,India
Ludhiana,Punjab,India
Visakhapatnam,Andhra Pradesh,India
Kochi,Kerala,India
Coimbatore,Tamil Nadu,India
Vadodara,Gujarat,India
Bhubaneswar,Odisha,India
Guwahati,Assam,India
Amritsar,Punjab,India
Varanasi,Uttar Pradesh,India
Madurai,Tamil Nadu,India
Mysore,Karnataka,India
Beijing,Beijing,China
Shanghai,Shanghai,China
Guangzhou,Guangdong,China
Shenzhen,Guangdong,China
Tianjin,Tianjin,China
Chongqing,Chongqing,China
Nanjing,Jiangsu,China
Hangzhou,Zhejiang,China
Wuhan,Hubei,China
Chengdu,Sichuan,China
Xi'an,Shaanxi,China
Kunming,Yunnan,China
Lanzhou,Gansu,China
Hohhot,Inner Mongolia,China
Taiyuan,Shanxi,China
Nanning,Guangxi,China
Haikou,Hainan,China
Hefei,Anhui,China
Fuzhou,Fujian,China
Nanchang,Jiangxi,China
Shijiazhuang,Hebei,China
Zhengzhou,Henan,China
Jinan,Shandong,China
Harbin,Heilongjiang,China
Changchun,Jilin,China
Taipei,Taiwan,China
Lhasa,Tibet,China
Urumqi,Xinjiang,China
Yinchuan,Ningxia,China
Guilin,Guangxi,China
Dalian,Liaoning,China
Qingdao,Shandong,China
Xiamen,Fujian,China
Changsha,Hunan,China
Wuxi,Jiangsu,China
Ningbo,Zhejiang,China
Changzhou,Jiangsu,China
Suzhou,Jiangsu,China
Wenzhou,Zhejiang,China
Foshan,Guangdong,China
Zhongshan,Guangdong,China
Dongguan,Guangdong,China
Zhuhai,Guangdong,China
Kunshan,Jiangsu,China
Nantong,Jiangsu,China
Jiaxing,Zhejiang,China
Huzhou,Zhejiang,China
Jinhua,Zhejiang,China
Jiangmen,Guangdong,China
Yangzhou,Jiangsu,China
Huizhou,Guangdong,China
Buenos Aires,Buenos Aires,Argentina
La Paz,La Paz,Bolivia
Brasília,Federal District,Brazil
Santiago,Santiago Metropolitan Region,Chile
Bogotá,Bogotá,Colombia
Quito,Pichincha,Ecuador
Georgetown,Demerara-Mahaica,Guyana
Asunción,Asunción,Paraguay
Lima,Lima,Peru
Paramaribo,Paramaribo,Suriname
Montevideo,Montevideo,Uruguay
Caracas,Capital District,Venezuela
São Paulo,São Paulo,Brazil
Rio de Janeiro,Rio de Janeiro,Brazil
Salvador,Bahia,Brazil
Fortaleza,Ceará,Brazil
Belo Horizonte,Minas Gerais,Brazil
Porto Alegre,Rio Grande do Sul,Brazil
Medellín,Antioquia,Colombia
Cali,Valle del Cauca,Colombia
Guayaquil,Guayas,Ecuador
Arequipa,Arequipa,Peru
Trujillo,La Libertad,Peru
Maracaibo,Zulia,Venezuela
Belize City,Belize District,Belize
La Ceiba,Atlántida,Honduras
San Pedro Sula,Cortés,Honduras
Granada,Granada,Nicaragua
Leon,León,Nicaragua
David,Chiriquí,Panama
Colón,Colón,Panama
Santa Ana,Santa Ana,El Salvador
San Miguel,San Miguel,El Salvador
Belmopan,Cayo,Belize
San Jose,San Jose,Costa Rica
Guatemala City,Guatemala,Guatemala
Tegucigalpa,Francisco Morazán,Honduras
Managua,Managua,Nicaragua
Panama City,Panama,Panama
San Salvador,San Salvador,El Salvador
Guadalajara,Jalisco,Mexico
Monterrey,Nuevo León,Mexico
Puebla,Puebla,Mexico
Tijuana,Baja California,Mexico
Ciudad Juárez,Chihuahua,Mexico
León,Guanajuato,Mexico
Zapopan,Jalisco,Mexico
Nezahualcóyotl,Mexico,Mexico
Mexicali,Baja California,Mexico
Culiacán,Sinaloa,Mexico
Aguascalientes,Aguascalientes,Mexico
Cancún,Quintana Roo,Mexico
Mérida,Yucatán,Mexico
San Luis Potosí,San Luis Potosí,Mexico
Chihuahua,Chihuahua,Mexico
Hermosillo,Sonora,Mexico
Saltillo,Coahuila,Mexico
Toluca,State of Mexico,Mexico
Acapulco,Guerrero,Mexico
Ixtapa,Guerrero,Mexico
Montreal,Quebec,Canada
Vancouver,British Columbia,Canada
Calgary,Alberta,Canada
Ottawa,Ontario,Canada
Edmonton,Alberta,Canada
Mississauga,Ontario,Canada
Winnipeg,Manitoba,Canada
Brampton,Ontario,Canada
Hamilton,Ontario,Canada
Quebec City,Quebec,Canada
Surrey,British Columbia,Canada
Laval,Quebec,Canada
Halifax,Nova Scotia,Canada
Markham,Ontario,Canada
Vaughan,Ontario,Canada
Kitchener,Ontario,Canada
St. John's,Newfoundland and Labrador,Canada
Charlottetown,Prince Edward Island,Canada
Fredericton,New Brunswick,Canada
Toronto,Ontario,Canada
Regina,Saskatchewan,Canada
Victoria,British Columbia,Canada
Whitehorse,Yukon,Canada
Yellowknife,Northwest Territories,Canada
Iqaluit,Nunavut,Canada
Nur-Sultan,Akmola Region,Kazakhstan
Tashkent,Tashkent Region,Uzbekistan
Ashgabat,Ahal,Turkmenistan
Bishkek,Chuy Region,Kyrgyzstan
Dushanbe,Districts of Republican Subordination,Tajikistan
Ulaanbaatar,Ulaanbaatar,Mongolia
Tokyo,Tokyo,Japan
Osaka,Osaka,Japan
Nagoya,Aichi,Japan
Yokohama,Kanagawa,Japan
Sapporo,Hokkaido,Japan
Fukuoka,Fukuoka,Japan
Kobe,Hyogo,Japan
Kyoto,Kyoto,Japan
Nagasaki,Nagasaki,Japan
Hiroshima,Hiroshima,Japan
Singapore,Central Region,Singapore
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia
George Town,Penang,Malaysia
Ipoh,Perak,Malaysia
Kuching,Sarawak,Malaysia
Kota Kinabalu,Sabah,Malaysia
Johor Bahru,Johor,Malaysia
Malacca City,Malacca,Malaysia
Alor Setar,Kedah,Malaysia
Seoul,Seoul,South Korea
Busan,Busan,South Korea
